country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccinated_percent,tested_positive
Colombia,South America,3232456,84724.0,3026277,121455,6582.0,62930,1649.0,16378496.0,318860.0,51365735,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",8842360.0,5646512.0,3195848.0,229124.0,164341.0,17.38,11.1,6.28,3230.0,17.214510801802017,19.73597575748103
Comoros,Africa,3872,146.0,3713,13,,4370,165.0,,,886035,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",80023.0,43140.0,36883.0,0.0,4390.0,9.2,4.96,4.24,5048.0,9.031584531085116,
Congo,Africa,11476,150.0,8208,3118,,2035,27.0,141948.0,25175.0,5638445,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",38268.0,22623.0,15645.0,0.0,852.0,0.69,0.41,0.28,154.0,0.6786977615282228,8.084650717164033
Costa Rica,North America,299219,3765.0,228589,66865,522.0,58264,733.0,1153337.0,224579.0,5135551,"Oxford/AstraZeneca, Pfizer/BioNTech",1457802.0,867517.0,590285.0,0.0,29415.0,28.62,17.03,11.59,5774.0,28.386476933049636,25.943761450469378
Cote D Ivoire,Africa,46942,298.0,46346,298,,1741,11.0,619741.0,22990.0,26957075,Oxford/AstraZeneca,528084.0,528084.0,0.0,28994.0,21777.0,2.0,2.0,0.0,826.0,1.958981083815659,7.574454489859474
Croatia,Europe,353986,7903.0,342202,3881,123.0,86706,1936.0,1970997.0,482777.0,4082624,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1686585.0,1240309.0,446276.0,53059.0,35464.0,41.08,30.21,10.87,8639.0,41.3112988117446,17.959743216250455
Cuba,North America,133053,877.0,125236,6940,136.0,11753,77.0,4150241.0,366615.0,11320441,"Abdala, Soberana02",803958.0,803958.0,0.0,84094.0,96477.0,7.1,7.1,0.0,8518.0,7.101825803429389,3.2059102109973856
Curacao,North America,12271,122.0,12087,62,18.0,74509,741.0,107257.0,651258.0,164692,"Moderna, Pfizer/BioNTech",150319.0,84009.0,66310.0,4693.0,3452.0,91.6,51.19,40.41,21036.0,91.27280013601147,11.44074512619223
Cyprus,Asia,71911,354.0,39061,32496,42.0,59177,291.0,6284278.0,5171428.0,1215192,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",572426.0,381409.0,191017.0,15365.0,12513.0,65.35,43.54,21.81,14286.0,47.105807148170825,1.144300108938529
Cyprus,Asia,71911,354.0,39061,32496,42.0,59177,291.0,6284278.0,5171428.0,1215192,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",572426.0,381409.0,191017.0,15365.0,12513.0,65.35,43.54,21.81,14286.0,47.105807148170825,1.144300108938529
Czech Republic,Europe,1658092,30028.0,1607706,20358,162.0,154576,2799.0,22860689.0,2131192.0,10726714,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",5137762.0,3763943.0,1411837.0,103253.0,77353.0,47.98,35.15,13.18,7223.0,47.896886222565456,7.25302723815542
Democratic Republic Of The Congo,Africa,30863,779.0,27603,2481,,336,8.0,157353.0,1711.0,91969351,Oxford/AstraZeneca,19597.0,19597.0,0.0,0.0,1106.0,0.02,0.02,0.0,12.0,0.021308185593263564,19.61386182659371
Denmark,Europe,273494,2508.0,257387,13599,20.0,47070,432.0,51129032.0,8799572.0,5810400,"Moderna, Pfizer/BioNTech",3264243.0,2033923.0,1230320.0,105750.0,50965.0,56.36,35.11,21.24,8799.0,56.179316398182564,0.5349094033307731
Djibouti,Africa,11493,153.0,11335,5,,11484,153.0,156340.0,156219.0,1000775,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",14943.0,12547.0,2396.0,0.0,254.0,1.51,1.27,0.24,257.0,1.493142814318903,7.351285659460151
Dominica,North America,184,,176,8,,2550,,16134.0,223630.0,72146,Oxford/AstraZeneca,36449.0,19634.0,16815.0,1226.0,901.0,50.63,27.27,23.36,12515.0,50.521165414576,1.1404487417875295
Dominican Republic,North America,283729,3606.0,235814,44309,324.0,25924,329.0,1512067.0,138154.0,10944778,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",4121584.0,3115252.0,1006332.0,160947.0,109363.0,37.99,28.72,9.28,10081.0,37.65799543855526,18.764314015185835
Ecuador,South America,418851,20193.0,354499,44159,580.0,23424,1129.0,1397765.0,78169.0,17881224,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",2110324.0,1526895.0,583429.0,100735.0,63108.0,11.96,8.65,3.31,3577.0,11.801899019888124,29.96576677767722
Egypt,Africa,253835,14721.0,186678,52436,90.0,2440,141.0,2715258.0,26096.0,104048165,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",2128164.0,1812826.0,315338.0,97771.0,62025.0,2.08,1.77,0.31,606.0,2.0453642791297666,9.348467070164235
El Salvador,North America,72220,2220.0,67510,2490,22.0,11085,341.0,968755.0,148687.0,6515391,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",1832228.0,1118980.0,713248.0,75346.0,46398.0,28.25,17.25,11.0,7153.0,28.121535606995806,7.454929264881213
Equatorial Guinea,Africa,8436,113.0,7801,522,7.0,5843,78.0,123169.0,85314.0,1443712,Sinopharm/Beijing,219677.0,148079.0,71598.0,0.0,5013.0,15.66,10.55,5.1,3573.0,15.216123437361468,6.849125997613036
Eritrea,Africa,3932,14.0,3711,207,,1095,4.0,23693.0,6600.0,3590075,,,,,,,,,,,,16.595618959186258
Estonia,Europe,128592,1240.0,120886,6466,31.0,96880,934.0,1392617.0,1049185.0,1327332,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",693331.0,463318.0,230013.0,17590.0,9665.0,52.27,34.93,17.34,7286.0,52.23493443991405,9.233838162251358
Ethiopia,Africa,269194,4076.0,228757,36361,495.0,2291,35.0,2687134.0,22872.0,117486892,Oxford/AstraZeneca,1798140.0,1798140.0,0.0,59977.0,35777.0,1.56,1.56,0.0,311.0,1.5305026538620154,10.01788522641595
Faeroe Islands,Europe,676,1.0,668,7,,13788,20.0,263482.0,5374003.0,49029,"Moderna, Pfizer/BioNTech",32440.0,20679.0,11761.0,1022.0,772.0,66.39,42.32,24.07,15799.0,66.16492280079137,0.2565640157581922
Falkland Islands Malvinas,South America,63,,63,0,,17647,,7258.0,2033053.0,3570,Oxford/AstraZeneca,4407.0,2632.0,1775.0,0.0,189.0,126.53,75.57,50.96,54264.0,123.44537815126051,0.8680077156241389
Fiji,Australia/Oceania,235,4.0,134,97,,260,4.0,88294.0,97862.0,902234,Oxford/AstraZeneca,93000.0,93000.0,0.0,28295.0,7236.0,10.37,10.37,0.0,8072.0,10.307747214137352,0.26615625070786236
Finland,Europe,91526,932.0,46000,44594,28.0,16496,168.0,4880241.0,879576.0,5548403,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",2916093.0,2436782.0,479311.0,101848.0,51281.0,52.63,43.98,8.65,9255.0,52.55733947227698,1.8754401678113846
France,Europe,5603666,108596.0,5199240,295830,3515.0,85680,1660.0,82691176.0,1264344.0,65402419,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",34939982.0,24603414.0,10567835.0,653122.0,527223.0,51.71,36.41,15.64,7803.0,53.42307292945847,6.77661906755323
French Guiana,South America,22780,112.0,9995,12673,27.0,74557,367.0,246436.0,806562.0,305539,,,,,,,,,,,,9.243779317956792
French Polynesia,Australia/Oceania,18844,141.0,18677,26,1.0,66738,499.0,26355.0,93340.0,282356,Oxford/AstraZeneca,95556.0,55606.0,39950.0,450.0,1523.0,34.02,19.8,14.22,5422.0,33.842383374180116,71.50066401062418
Gabon,Africa,24107,147.0,20976,2984,23.0,10609,65.0,785631.0,345744.0,2272289,Sinopharm/Beijing,17272.0,10670.0,6602.0,0.0,457.0,0.78,0.48,0.3,205.0,0.7601145804957028,3.0684888961866323
Gambia,Africa,5968,175.0,5727,66,3.0,2410,71.0,76379.0,30838.0,2476758,Oxford/AstraZeneca,28590.0,27266.0,1324.0,0.0,1045.0,1.18,1.13,0.05,432.0,1.1543315899252167,7.8136660600426815
Georgia,Asia,337573,4622.0,318599,14352,,84768,1161.0,4751763.0,1193213.0,3982326,Oxford/AstraZeneca,151095.0,130037.0,21058.0,6482.0,4457.0,3.79,3.26,0.53,1117.0,3.7941394049608195,7.104163233730302
Germany,Europe,3654201,87973.0,3408800,157428,3477.0,43490,1047.0,59197639.0,704541.0,84022978,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",49255748.0,35848651.0,14197101.0,1405599.0,805898.0,58.79,42.79,16.94,9619.0,58.62175939538825,6.172883009743007
